id,uf_id,name,populacao,regiao,INEAB,INEAB_FAIXA,COBERTURA_AB,FAIXA_COBERTURA_AB,NOTA_COBERTURA_AB,PORCENTAGEM_POP_SUS,PORCENTAGEM_POP_SUS_FAIXA,PORCENTAGEM_POP_SUS_NOTA,MORT_DCNT,MORT_DCNT_FAIXA,MORT_DCNT_NOTA,MORT_MAT,MORT_MAT_FAIXA,NOTA_MORT_MAT,MORT INF,MORT_INF_FAIXA,MORT_INF_NOTA,VACINACAO,OBS,VACINAÇÃO_FAIXA,DESPESA SAUDE_PER CAPITA,FAIXA_DESP_SAUDE_P,NOTA_DESP_SAUDE_P,EMENDAS_TOTAL,EMENDAS_PERCAP,FAIXA_EMENDAS_P,ICSAP,ICSAP_FAIXA,CONSULTAS_APS_HAB,FAIXA_CONSULTAS_APS_HAB,PRE_NATAL,PRE_NATAL_FAIXA,POP_SUS,TETO_EMENDAS_MS,TETO_EMENDAS_PERCAP,TETO EMENDAS_AJUSTADO,TETO_AJUSTADO_PERCAP,FAIXA_TETO_AJUSTADO_PERCAP,EMENDAS_CUSTEIO,EMENDAS_INVESTIMENTO,EMENDAS_IND_24,EMENDAS_IND_24_CUSTEIO,EMENDAS_IND_24_INVES,EMENDAS_COMISS_24,EMENDAS_COMISS_24_CUSTEIO,EMENDAS_COMISS_24_INVEST,EMENDAS_BANC_24,EMENDAS_BANC_24_CUSTEIO,EMENDAS_BANC_24_INVES,EMENDAS_REL_24,EMENDAS_REL_24_CUSTEIO,EMENDAS_REL_24_INVES
35072,35,REGIAO METROPOLITANA DE CAMPINAS,3284963,Sudeste,"0,1758788516",Muito Baixa,"1,570615253",Completa,"0,2","0,5496214113",Muito Baixa,"0,2","146,1812507",Baixa,"0,4","32,67344374",Baixa,"0,4","5,881670852",Muito Baixa,"0,2","0,8848571865",,Média,"1713,505486",Média,"0,6",51057257,"15,54271905",Muito Baixa,"106,1808002",Muito Baixa,"1,075026416",Muito Baixa,"0,855611761",Média,1805486,"207291416,1","63,10312051","73034387,85","22,23294078",Muito Baixa,48094029,2963228,33417022,30453794,2963228,17640235,17640235,0,0,0,0,0,0,0
35073,35,JUNDIAI,875786,Sudeste,"0,206611364",Muito Baixa,"1,51832228",Completa,"0,2","0,491931819",Muito Baixa,"0,2","160,6556853",Média,"0,6","30,68581146",Baixa,"0,4","6,572353948",Baixa,"0,4","0,9098950604",,Alta,"1922,493593",Alta,"0,8",10596867,"12,09983603",Muito Baixa,"146,7253416",Baixa,"0,8592772664",Muito Baixa,"0,8824296425",Muito Alta,430827,"47566681,41","54,3131329","16759031,92","19,13598975",Muito Baixa,10346867,250000,5660000,5410000,250000,4936867,4936867,0,0,0,0,0,0,0
35074,35,CIRCUITO DAS AGUAS,134902,Sudeste,"0,4371542305",Média,"0,6798862314",Muito Baixa,1,"0,6623548947",Muito Baixa,"0,2","189,0261078",Muito Alta,1,0,Muito Baixa,"0,2","5,711123336",Muito Baixa,"0,2","0,8357491857",,Baixa,"1962,468658",Alta,"0,8",11602872,"86,00963663",Muito Alta,"157,1511171",Média,"2,140205482",Média,"0,8464106845",Média,89353,"18219506,51","135,0573491","6419226,277","47,584367",Baixa,10853321,749551,7800401,7050850,749551,3802471,3802471,0,0,0,0,0,0,0
35081,35,TRES COLINAS,437336,Sudeste,"0,2245244846",Muito Baixa,"1,807018067",Completa,"0,2","0,7016390144",Muito Baixa,"0,2","138,3375711",Baixa,"0,4","26,34005005",Baixa,"0,4","6,519268085",Baixa,"0,4","0,7544590025",,Muito Baixa,"1204,871751",Muito Baixa,"0,2",2750000,"6,288071414",Muito Baixa,"130,5632283",Baixa,"1,514437412",Baixa,"0,7791353383",Muito Baixa,306852,"25359885,86","57,9871903","8934975,576","20,43045982",Muito Baixa,2750000,0,1500000,1500000,0,1250000,1250000,0,0,0,0,0,0,0
35082,35,ALTA ANHANGUERA,151464,Sudeste,"0,2451434004",Muito Baixa,"1,071001808",Completa,"0,2","0,612858501",Muito Baixa,"0,2","177,5999577",Alta,"0,8","23,77555873",Muito Baixa,"0,2","7,088936068",Baixa,"0,4","0,9225883152",,Alta,"1750,111482",Média,"0,6",1649970,"10,89347964",Muito Baixa,"186,8430782",Alta,"1,962010775",Média,"0,8666191155",Alta,92826,"17492695,41","115,4907794","6163151,014","40,69053382",Baixa,1400000,249970,549970,300000,249970,1100000,1100000,0,0,0,0,0,0,0
35083,35,ALTA MOGIANA,113624,Sudeste,"0,4073783708",Média,"0,8982374245",Média,"0,6","0,6570618883",Muito Baixa,"0,2","164,5779061",Média,"0,6","67,13662303",Alta,"0,8","6,534988923",Baixa,"0,4","0,9091751622",,Alta,"1993,873678",Alta,"0,8",2259980,"19,88998803",Baixa,"178,6594381",Média,"2,681757375",Muito Alta,"0,8640483384",Alta,74658,"18484649,55","162,6826159","6512643,362","57,31749773",Média,1900000,359980,2059980,1700000,359980,200000,200000,0,0,0,0,0,0,0
35091,35,ADAMANTINA,133712,Sudeste,"0,3638838698",Baixa,"0,9049180101",Alta,"0,4","0,827008795",Baixa,"0,4","169,7678593",Alta,"0,8","29,70885324",Baixa,"0,4","5,844294862",Muito Baixa,"0,2","0,9223443223",,Alta,"1608,094743",Baixa,"0,4",6054677,"45,2814781",Alta,"206,4137849",Alta,"1,997681584",Média,"0,8879551821",Muito Alta,110581,"18294328,26","136,8188963","6445588,008","48,20500783",Média,5642977,411700,2875578,2595613,279965,3179099,3047364,131735,0,0,0,0,0,0
35092,35,ASSIS,240384,Sudeste,"0,4116190761",Média,"1,145053936",Completa,"0,2","0,7915751464",Baixa,"0,4","185,952476",Muito Alta,1,"14,41753172",Muito Baixa,"0,2","8,118958715",Alta,"0,8","0,9393530997",,Alta,"1748,502148",Média,"0,6",5670967,"23,59128311",Baixa,"313,2488019",Muito Alta,"2,170776757",Média,"0,8897565457",Muito Alta,190282,"25096163,27","104,4003065","8842058,956","36,78305942",Baixa,5191123,479844,3919844,3440000,479844,1751123,1751123,0,0,0,0,0,0,0
35093,35,MARILIA,393825,Sudeste,"0,3848729766",Baixa,"0,9716188181",Alta,"0,4","0,7127277344",Muito Baixa,"0,2","158,6999302",Média,"0,6","8,053475074",Muito Baixa,"0,2","9,565323847",Muito Alta,1,"0,895811789",,Média,"1785,387951",Média,"0,6",12353967,"31,3691792",Média,"153,3676125",Baixa,"2,989447089",Muito Alta,"0,836030205",Baixa,280690,"50584525,29","128,4441701","17822300,17","45,25436468",Baixa,12054777,299190,12353967,12054777,299190,0,0,0,0,0,0,0,0,0
35094,35,OURINHOS,236295,Sudeste,"0,3592174189",Baixa,"1,191159006",Completa,"0,2","0,8164032248",Baixa,"0,4","180,7063205",Muito Alta,1,"12,85512277",Muito Baixa,"0,2","5,037401733",Muito Baixa,"0,2","0,8806868687",,Média,"2235,659531",Muito Alta,1,11342443,"48,00119766",Alta,"214,1391058",Muito Alta,"2,148598151",Média,"0,8582214765",Alta,192912,"24819026,66","105,0340746","8744416,211","37,00635312",Baixa,10542543,799900,10442443,9642543,799900,900000,900000,0,0,0,0,0,0,0
