id,uf_id,name,populacao,regiao,INEAB,INEAB_FAIXA,COBERTURA_AB,COBERTURA_AB_FAIXA,COBERTURA_AB_NOTA,PORCENTAGEM_POP_SUS,PORCENTAGEM_POP_SUS_FAIXA,PORCENTAGEM_POP_SUS_OBS,PORCENTAGEM_POP_SUS_NOTA,MORT_DCNT,MORT_DCNT_FAIXA,MORT_DCNT_NOTA,MORT_MAT,MORT_MAT_FAIXA,MORT_MAT_NOTA,MORT_INF,MORT_INF_FAIXA,MORT_INF_NOTA,VACINACAO,VACINACAO_FAIXA,VACINACAO_OBS,ORC_PERCAP,ORC_PERCAP_FAIXA,ORC_PERCAP_OBS,ORC_PERCAP_NOTA,EMENDAS_PERCAP,EMENDAS_PERCAP_FAIXA,EMENDAS_TOTAL
21002,21,BACABAL,255.229,Nordeste,"0,449649374",Baixa,"0,9353993695",Alta,"0,4","0,977498638",Muito Alta,,1,"130,0792622",Média,"0,6","57,88153804",Média,"0,6","1,753339881",Muito Baixa,"0,2","0,85",Baixa,,"1023,010765",Média,,"0,6","76,84621975",Média,"  18.478.442,00 "
21003,21,BALSAS,233.176,Nordeste,"0,553345113",Alta,"0,9784191787",Alta,"0,4","0,954043298",Alta,,"0,8","108,5017326",Muito Baixa,"0,2","88,20385971",Muito Alta,1,"6,273111215",Média,"0,6","0,77",Muito Baixa,,"1218,081601",Muito Alta,,1,"83,97895257",Média,"  9.013.377,00 "
21004,21,BARRA DO CORDA,225.701,Nordeste,"0,613720365",Muito Alta,"0,8385791443",Média,"0,6","0,989871556",Muito Alta,,1,"114,7535899",Muito Baixa,"0,2","91,56115707",Muito Alta,1,"7,46868079",Alta,"0,8","0,65",Muito Baixa,,"903,8494053",Baixa,,"0,4","54,71842094",Baixa,"  11.593.356,00 "
21005,21,CAXIAS,284.855,Nordeste,"0,617532288",Muito Alta,"0,9624245998",Alta,"0,4","0,935654982",Alta,,"0,8","131,6459251",Média,"0,6","133,2189486",Muito Alta,1,"8,445421671",Alta,"0,8","0,84",Baixa,,"1046,615653",Média,,"0,6","46,61460051",Muito Baixa,"  11.336.531,00 "
21006,21,CHAPADINHA,352.087,Nordeste,"0,297116622",Muito Baixa,"0,9254476889",Alta,"0,4","0,990388739",Muito Alta,,1,"95,43095883",Muito Baixa,"0,2","43,21506932",Baixa,"0,4","1,749732233",Muito Baixa,"0,2","0,82",Baixa,,"770,893972",Muito Baixa,,"0,2","92,41046555",Média,"  25.774.665,00 "
21007,21,CODO,283.675,Nordeste,"0,629346682",Muito Alta,"0,8944932204",Média,"0,6","0,983354191",Muito Alta,,1,"119,1504362",Baixa,"0,4","72,97817131",Alta,"0,8","11,18286723",Muito Alta,1,"0,72",Muito Baixa,,"687,5168621",Muito Baixa,Calculo realizado sem os municípios com informações do ano de 2023 indisponíveis,"0,2","44,20006586",Muito Baixa,"  5.771.512,00 "
21008,21,IMPERATRIZ,539.468,Nordeste,"0,591195659",Alta,"0,9480337823",Alta,"0,4","0,895750999",Média,,"0,6","128,6452579",Baixa,"0,4","169,8869013",Muito Alta,1,"11,54008677",Muito Alta,1,"0,75",Muito Baixa,,"1020,762335",Média,,"0,6","36,42083539",Muito Baixa,"  18.777.308,00 "
21009,21,ITAPECURU MIRIM,356.786,Nordeste,"0,455095547",Baixa,"0,8409992506",Média,"0,6","0,989338147",Muito Alta,,1,"113,5134226",Muito Baixa,"0,2","50,04824764",Média,"0,6","4,023612372",Baixa,"0,4","0,79",Baixa,,"892,7980063",Baixa,,"0,4","69,53992694",Baixa,"  23.833.141,00 "
21010,21,PEDREIRAS,206.646,Nordeste,"0,510296836",Média,"0,9741431203",Alta,"0,4","0,981340069",Muito Alta,,1,"136,9491788",Média,"0,6","77,01719088",Alta,"0,8","2,862805657",Muito Baixa,"0,2","0,83",Baixa,,"1140,578255",Alta,,"0,8","108,6991556",Alta,"  18.434.942,00 "
21011,21,PINHEIRO,390.873,Nordeste,"0,516131327",Média,"0,8551681149",Média,"0,6","0,992560243",Muito Alta,,1,"102,3350295",Muito Baixa,"0,2","50,07302575",Média,"0,6","7,090056919",Alta,"0,8","0,74",Muito Baixa,,"847,6834351",Muito Baixa,,"0,2","85,59223094",Média,"  25.332.647,00 "
21012,21,PRESIDENTE DUTRA,274.382,Nordeste,"0,473714456",Baixa,"0,920382743",Alta,"0,4","0,986905118",Muito Alta,,1,"118,4480031",Baixa,"0,4","77,1837879",Alta,"0,8","2,349976341",Muito Baixa,"0,2","0,84",Baixa,,"1168,838128",Alta,,"0,8","88,90765468",Média,"  22.864.915,00 "
21013,21,ROSARIO,287.239,Nordeste,"0,335700862",Muito Baixa,"0,9308308855",Alta,"0,4","0,987355477",Muito Alta,,1,"91,90952482",Muito Baixa,"0,2","61,95988839",Média,"0,6","3,416614491",Muito Baixa,"0,2","0,81",Baixa,,"766,4881473",Muito Baixa,,"0,2","72,18627345",Média,"  20.734.713,00 "
21014,21,SANTA INES,345.534,Nordeste,"0,632483750",Muito Alta,"0,8448861419",Média,"0,6","0,988255859",Muito Alta,,1,"120,9721764",Baixa,"0,4","117,9450465",Muito Alta,1,"6,062399151",Média,"0,6","0,79",Muito Baixa,,"1010,570535",Média,,"0,6","81,137718",Média,"  13.422.207,00 "
21015,21,SAO JOAO DOS PATOS,233.138,Nordeste,"0,531406806",Média,"0,8719824787",Média,"0,6","0,984086678",Muito Alta,,1,"117,0980278",Muito Baixa,"0,2","21,52620816",Muito Baixa,"0,2","12,64074963",Muito Alta,1,"0,87",Média,,"1072,026138",Alta,,"0,8","128,226407",Alta,"  29.340.510,00 "
21016,21,SAO LUIS,1.477.302,Nordeste,"0,611839692",Muito Alta,"0,6491302515",Muito Baixa,1,"0,764799614",Baixa,,"0,4","127,3267077",Baixa,"0,4","147,6658471",Muito Alta,1,"19,34513687",Muito Alta,1,"0,68",Muito Baixa,,"874,1148179",Muito Baixa,,"0,2","5,049746091",Muito Baixa,"  7.460.000,00 "
21017,21,TIMON,249.953,Nordeste,"0,515062592",Média,"0,9457210682",Alta,"0,4","0,888038951",Média,,"0,6","125,223542",Baixa,"0,4","98,73320472",Muito Alta,1,"8,450492099",Alta,"0,8","0,71",Muito Baixa,,"724,5902897",Muito Baixa,,"0,2","29,07675443",Muito Baixa,"  7.267.822,00 "
21018,21,VIANA,256.850,Nordeste,"0,437915203",Baixa,"0,877145353",Média,"0,6","0,995261826",Muito Alta,,1,"118,74635",Baixa,"0,4","41,52540547",Baixa,"0,4","3,492062118",Baixa,"0,4","0,83",Baixa,,"832,062517",Muito Baixa,,"0,2","74,76102005",Média,"  19.202.368,00 "
21019,21,ZE DOCA,263.354,Nordeste,"0,413682951",Muito Baixa,"0,8830502309",Média,"0,6","0,984959408",Muito Alta,,1,"95,68869279",Muito Baixa,"0,2","24,93993218",Baixa,"0,4","4,70511145",Baixa,"0,4","0,89",Média,,"975,237103",Baixa,,"0,4","142,074641",Muito Alta,"  37.415.925,00 "
22001,22,CARNAUBAIS,159.428,Nordeste,"0,480690343",Baixa,"0,988039928",Alta,"0,4","0,961380686",Alta,,"0,8","142,3840229",Alta,"0,8",0,Muito Baixa,"0,2","6,213823986",Média,"0,6","0,97",Muito Alta,,"1012,302093",Média,,"0,6","187,741043",Muito Alta,"  29.931.179,00 "
22002,22,CHAPADA DAS MANGABEIRAS,185.939,Nordeste,"0,541956663",Média,"0,9829529347",Alta,"0,4","0,967779756",Alta,,"0,8","108,6377791",Muito Baixa,"0,2","91,54006432",Muito Alta,1,"5,25879222",Média,"0,6","0,9",Alta,,"1131,78444",Alta,,"0,8","158,1279828",Muito Alta,"  29.402.159,00 "
22003,22,COCAIS,399.787,Nordeste,"0,447223597",Baixa,"0,9984450562",Alta,"0,4","0,97222521",Muito Alta,,1,"118,5631349",Baixa,"0,4","62,69891026",Média,"0,6","4,922290224",Média,"0,6","0,9",Média,,"840,6095562",Muito Baixa,,"0,2","140,4077846",Muito Alta,"  56.133.207,00 "
